depot,destination_name,destination_lat,destination_lon,distance_km,duration_min,cluster,TARGET_ORDER
Gare de Lyon,La table de Maître Corbeau,48.8670549,2.2838592,9.32,22.91,1,1
Gare de Lyon,Antonin Raynaud,48.8942913,2.2845558,11.26,26.43,1,2
Gare de Lyon,Hôtel Monceau Wagram,48.880913,2.2989179,9.05,23.02,1,3
Gare de Lyon,La Villa Haussmann,48.8753192,2.3167286,6.94,19.09,1,4
Gare de Lyon,BNP Paribas,48.8744495,2.3205466,6.8,18.86,1,5
Gare de Lyon,Pharmacie du centre,48.8831102,2.2739145,10.46,25.51,1,6
Gare de Lyon,Petronella,48.8942011,2.2882065,10.41,25.67,1,7
Gare de Lyon,Alma Georges V,48.8666971,2.3011333,7.83,19.96,1,8
Gare de Lyon,Chez Gusto,48.8950535,2.3171038,9.9,24.23,1,9
Gare de Lyon,Clinique Vétérinaire V24,48.8991724,2.2857871,10.84,25.68,1,10
Gare de Lyon,Quatre-Vingt-Neuf,48.8886787,2.3199258,8.42,23.4,1,11
Gare de Lyon,Il Ristorante,48.8812078,2.2985243,9.39,24.0,1,12
Gare de Lyon,Kokyu Ho - Club d'aikido Paris 17,48.8816354,2.3170262,7.68,21.41,1,13
Gare de Lyon,Café du métro,48.8925716,2.284911,11.52,26.47,1,14
Gare de Lyon,Pharmacie de Neuilly,48.8822111,2.2772346,10.13,24.93,1,15
Gare de Lyon,Édicule Guimard,48.8713885,2.2778727,9.82,23.72,1,16
Gare de Lyon,Kyûden,48.8931065,2.2853501,10.66,26.36,1,17
Gare de Lyon,Alla Follia,48.8950213,2.2941713,9.81,24.06,1,18
Gare de Lyon,Stèle à Jean Perrin,48.8668747,2.3112455,6.83,18.25,1,19
Gare de Lyon,Citrus,48.874747,2.315927,7.07,19.55,1,20
Gare de Lyon,Collège Privé Sainte-Ursule-Louise de Bettignies,48.8862736,2.2986679,8.94,23.0,1,21
Gare de Lyon,La table verte,48.8793549,2.2967286,9.26,23.71,1,22
Gare de Lyon,Anona,48.881984,2.318718,7.78,21.75,1,23
Gare de Lyon,BNP Paribas,48.8931384,2.2892052,10.25,25.2,1,24
Gare de Lyon,Hamac,48.8805463,2.3168842,7.9,21.05,1,25
Gare de Lyon,Crédit Agricole,48.8936655,2.2881352,10.62,26.11,1,26
Gare de Lyon,Burger King,48.8752762,2.2958261,8.32,20.93,1,27
Gare de Lyon,Parking Étoile Wagram,48.8761767,2.297078,8.46,21.48,1,28
Gare de Lyon,O'Tacos,48.8846127,2.2782242,10.32,25.52,1,29
Gare de Lyon,Cabinet vétérinaire Neko&Co,48.9013519,2.3092592,10.7,25.35,1,30
Gare de Lyon,Berri - Haussmann,48.8747444,2.3082953,8.18,20.6,1,31
Gare de Lyon,Tchin Tchin,48.8648212,2.2918204,8.31,21.05,1,32
Gare de Lyon,Maurice Ravel’s grave,48.9000811,2.2903997,10.31,24.76,1,33
Gare de Lyon,Bienfaisance - Place de Narvik,48.8766143,2.3131677,7.25,19.71,1,34
Gare de Lyon,Comme chez Maman,48.8875927,2.3180689,8.22,22.94,1,35
Gare de Lyon,Café de Paris,48.8738245,2.2977247,8.17,20.54,1,36
Gare de Lyon,Flash Burger,48.884558,2.304364,8.3,21.91,1,37
Gare de Lyon,Rond-Point,48.8691072,2.3112157,7.02,17.87,1,38
Gare de Lyon,Pas Chiche,48.8914323,2.3196308,8.63,23.91,1,39
Gare de Lyon,BNP Paribas,48.8755598,2.2906699,8.68,21.71,1,40
Gare de Lyon,Mister Garden,48.8728483,2.3094332,7.94,20.54,1,41
Gare de Lyon,L'Hôtel Gaillard,48.8818071,2.3110025,7.69,20.32,1,42
Gare de Lyon,BNP Paribas,48.8725861,2.3019868,7.82,19.62,1,43
Gare de Lyon,LCL,48.8808061,2.2998906,9.01,23.02,1,44
Gare de Lyon,SG,48.8854145,2.3074002,8.16,21.32,1,45
Gare de Lyon,aromates,48.8756248,2.3083963,7.58,20.96,1,46
Gare de Lyon,Gare au Gorille,48.8835395,2.3199444,7.63,21.27,1,47
Gare de Lyon,Pêche,48.8863383,2.3125327,8.35,21.74,1,48
Gare de Lyon,Place du Général-Catroux,48.8833428,2.3092343,7.89,20.68,1,49
Gare de Lyon,Miss Kō,48.8710293,2.3006084,7.86,19.92,1,50
Gare de Lyon,Hôtel Prince Albert Wagram,48.8864935,2.3123404,8.42,22.01,1,51
Gare de Lyon,Société Générale,48.8787209,2.2930864,9.1,23.0,1,52
