depot,destination_name,destination_lat,destination_lon,distance_km,duration_min,cluster,TARGET_ORDER
Gare de Lyon,Fontaine Wallace,48.8802774,2.2393283,13.9,30.64,10,1
Gare de Lyon,La Galerie,48.8684461,2.2249719,14.16,31.14,10,2
Gare de Lyon,BRED,48.8695499,2.2267015,14.77,32.56,10,3
Gare de Lyon,Société Générale,48.8864487,2.2315289,13.94,29.93,10,4
Gare de Lyon,Sushi Time's,48.8869137,2.2324331,14.02,30.14,10,5
Gare de Lyon,Mont Legrense,48.8792044,2.2401192,13.84,30.48,10,6
Gare de Lyon,Parking Monoprix,48.8803833,2.2398918,13.92,30.84,10,7
Gare de Lyon,Maison de la Mécanique,48.8917373,2.2516099,12.62,27.98,10,8
Gare de Lyon,Da Giovanni,48.8964508,2.2244808,14.05,29.2,10,9
Gare de Lyon,Hôtel CourSeine,48.8990454,2.2464145,13.39,29.18,10,10
Gare de Lyon,La Civette du Pont,48.8795621,2.2435575,13.46,29.63,10,11
Gare de Lyon,Gastronomie Plancha,48.8693026,2.2278683,14.31,31.76,10,12
Gare de Lyon,Alfred's Café,48.8933205,2.2462666,13.24,29.05,10,13
Gare de Lyon,Villa Min,48.8991473,2.2457779,13.42,29.35,10,14
Gare de Lyon,A la Bonne Adresse,48.8979806,2.2408931,13.45,29.08,10,15
