depot,destination_name,destination_lat,destination_lon,distance_km,duration_min,cluster,TARGET_ORDER
Gare de Lyon,La Grèce,48.8218463,2.3658486,4.91,10.15,5,1
Gare de Lyon,Avis,48.8263541,2.4052937,3.44,9.55,5,2
Gare de Lyon,mon stade training,48.8285974,2.3823328,2.6,7.08,5,3
Gare de Lyon,Livres à vous,48.816887,2.3793052,4.9,10.12,5,4
Gare de Lyon,Chicken World,48.8246574,2.3643315,3.64,10.46,5,5
Gare de Lyon,LCL,48.8358308,2.4051084,2.57,7.13,5,6
Gare de Lyon,École Primaire des Grands Moulins,48.8278142,2.3777359,3.05,8.23,5,7
Gare de Lyon,Sushi Masséna,48.8306485,2.381366,2.3,6.24,5,8
Gare de Lyon,Verdun - Adrien Damalix,48.8221748,2.4216012,5.98,10.82,5,9
Gare de Lyon,Olympiades,48.826922,2.3652354,3.19,8.75,5,10
Gare de Lyon,Bibliothèque,48.8239291,2.4591392,9.28,15.12,5,11
Gare de Lyon,Avocette élégante,48.833656,2.41868,3.6,9.42,5,12
Gare de Lyon,Chouette,48.8221641,2.4123857,5.15,11.3,5,13
Gare de Lyon,AUTO ECOLE UNIVERSELLE,48.838465,2.3928,1.87,5.23,5,14
Gare de Lyon,Fuuki,48.8312852,2.3735705,2.3,6.34,5,15
Gare de Lyon,Tricotin 1,48.8208523,2.3636767,3.78,10.38,5,16
Gare de Lyon,Buste Winston Churchill,48.8250594,2.4046224,4.47,10.19,5,17
Gare de Lyon,Famille Dubois,48.8188832,2.4362448,6.7,12.02,5,18
Gare de Lyon,Épicerie Tempero,48.8318993,2.374271,2.32,6.44,5,19
Gare de Lyon,Socoa,48.825983,2.3606487,3.47,9.51,5,20
Gare de Lyon,Chharm Thai,48.8242503,2.3665651,5.04,10.81,5,21
Gare de Lyon,Les Délices de Maeva,48.8367495,2.3930809,2.1,6.09,5,22
Gare de Lyon,À la mémoire des travailleurs et combattants chinois morts pour la France,48.8230708,2.3644452,5.07,10.57,5,23
Gare de Lyon,Ibis Budget,48.8253008,2.3939313,3.2,6.84,5,24
Gare de Lyon,UrbanSoccer,48.8200169,2.3935791,4.39,9.85,5,25
Gare de Lyon,Le ginkgo,48.821687,2.4570783,9.52,15.17,5,26
Gare de Lyon,Abri temporaire d'enfants,48.8219999,2.3628574,3.64,9.96,5,27
Gare de Lyon,Pharmacie Lamblardie,48.8400449,2.3970276,1.84,5.31,5,28
Gare de Lyon,Bibliothèque universitaire des langues et civilisations (BULAC),48.827088,2.3756326,3.08,8.32,5,29
Gare de Lyon,Stop Pain,48.8194688,2.3590386,5.48,10.91,5,30
