depot,destination_name,destination_lat,destination_lon,distance_km,duration_min,cluster,TARGET_ORDER
Gare de Lyon,Crédit Mutuel,48.8923179,2.4558408,12.17,22.28,7,1
Gare de Lyon,Buttes Snack Bar,48.8752154,2.3816867,5.38,15.07,7,2
Gare de Lyon,Conservatoire de Musique Orientale,48.8843547,2.3775215,6.11,16.6,7,3
Gare de Lyon,Couvent Sainte-Périne,48.8884866,2.3735281,6.63,18.13,7,4
Gare de Lyon,Le Café du Théâtre,48.8903677,2.3716018,6.57,17.95,7,5
Gare de Lyon,Le Triton,48.8785002,2.4149446,7.87,14.92,7,6
Gare de Lyon,Le Muscat,48.9019537,2.3899121,10.86,19.31,7,7
Gare de Lyon,Chalet des Gaufres,48.8813183,2.3841244,6.52,17.92,7,8
Gare de Lyon,École élémentaire Manin,48.8840985,2.3910764,8.61,16.73,7,9
Gare de Lyon,LCL,48.8912446,2.4019198,9.46,17.06,7,10
Gare de Lyon,Sakanaya,48.8721705,2.391395,5.23,14.6,7,11
Gare de Lyon,Pharmacie de la porte des Lilas,48.8769048,2.4071896,6.86,13.18,7,12
Gare de Lyon,Centre Médico Psychologique,48.8844227,2.3835441,6.63,18.07,7,13
Gare de Lyon,Paradise Pizza,48.8780446,2.374325,5.3,14.65,7,14
Gare de Lyon,Nagano,48.8793563,2.4117339,7.63,14.41,7,15
Gare de Lyon,Rendez-vous des Routiers,48.8994162,2.3937397,11.16,20.09,7,16
Gare de Lyon,Let's Wok,48.8983556,2.3782547,10.77,19.85,7,17
Gare de Lyon,Pizza Nino,48.8910363,2.3765311,7.03,19.28,7,18
Gare de Lyon,Santévéto,48.8954629,2.4009207,9.92,18.72,7,19
Gare de Lyon,Pharmacie El Ghadouani,48.8879609,2.4620652,10.63,18.27,7,20
Gare de Lyon,Karaoke Club,48.8742989,2.3923968,5.8,16.2,7,21
Gare de Lyon,Le Village,48.8948902,2.4012463,9.86,18.56,7,22
Gare de Lyon,Crèche Collective,48.8879003,2.381445,7.23,19.95,7,23
Gare de Lyon,alliance3,48.8858142,2.3825261,6.49,17.82,7,24
Gare de Lyon,Marmite d'Afrique,48.901471,2.3850392,10.84,19.38,7,25
Gare de Lyon,Jeanne Lilienfeld née Schney,48.8898834,2.4516554,10.84,18.8,7,26
Gare de Lyon,Aide sociale à l'enfance 19ème,48.8828643,2.3886668,8.9,17.61,7,27
Gare de Lyon,Le Parks,48.8985268,2.3782168,10.77,19.85,7,28
Gare de Lyon,CCF,48.8919679,2.3779205,7.02,19.22,7,29
Gare de Lyon,Borne Trilib',48.8837276,2.3877473,6.99,18.99,7,30
Gare de Lyon,Docteur Abergel,48.9013192,2.3929038,11.03,19.82,7,31
Gare de Lyon,2Z Resto,48.883388,2.3731757,5.75,15.7,7,32
Gare de Lyon,Domino's,48.8804912,2.4187653,8.1,15.32,7,33
Gare de Lyon,Bistrot de Loly,48.8850476,2.3830435,6.58,18.05,7,34
