depot,destination_name,destination_lat,destination_lon,distance_km,duration_min,cluster,TARGET_ORDER
Gare de Lyon,Pierre Sylvain Stein,48.8546778,2.4592387,8.18,16.49,6,1
Gare de Lyon,Collège Hector Berlioz,48.8467414,2.4275896,4.79,10.09,6,2
Gare de Lyon,Color Design Hôtel,48.8494118,2.3809774,1.93,5.49,6,3
Gare de Lyon,Les Chérubins de Montreuil,48.8529009,2.4450219,6.4,14.26,6,4
Gare de Lyon,ECF,48.8498236,2.3840976,1.7,4.46,6,5
Gare de Lyon,Auciel,48.8543768,2.3835689,2.33,6.19,6,6
Gare de Lyon,Cédric Tassin,48.8645796,2.3936727,3.98,11.09,6,7
Gare de Lyon,L'Ami Justin,48.8595058,2.3894318,4.18,10.38,6,8
Gare de Lyon,Woodiz,48.8691544,2.3912624,5.96,17.12,6,9
Gare de Lyon,Pharmacie Kerdja,48.8625965,2.4659389,8.82,18.39,6,10
Gare de Lyon,Parking M.E.A.,48.8716303,2.4017079,6.79,14.66,6,11
Gare de Lyon,Clinique Vetinaire,48.8494676,2.3966677,2.56,6.14,6,12
Gare de Lyon,Pierre Dac,48.8627758,2.3962618,4.82,13.32,6,13
Gare de Lyon,Les Gentlemen du Jeu,48.8642707,2.3977237,4.42,12.39,6,14
Gare de Lyon,Mademoiselle Amande,48.8466238,2.4348226,5.52,12.28,6,15
Gare de Lyon,Chicken Broadway,48.8625582,2.4155041,6.05,12.32,6,16
Gare de Lyon,Cœur de Ville,48.8479448,2.4394634,5.66,12.21,6,17
Gare de Lyon,LCL,48.8645036,2.398308,4.38,12.22,6,18
Gare de Lyon,L'Adelita,48.849523,2.3793092,1.45,3.98,6,19
Gare de Lyon,Alexandre Bernard,48.8482854,2.4657579,8.74,17.06,6,20
Gare de Lyon,La Terrasse,48.8728468,2.4296322,7.57,13.21,6,21
Gare de Lyon,Pyrénées - Charles Renouvier,48.8609558,2.4004031,4.73,11.07,6,22
Gare de Lyon,Paya Thaï Aligre,48.8497475,2.3788828,1.49,4.07,6,23
Gare de Lyon,Marie Trintignant,48.8611926,2.3949378,4.6,12.27,6,24
Gare de Lyon,Institut de Création et d'Animation Numériques,48.8462051,2.3855851,1.8,4.44,6,25
Gare de Lyon,ESAT Marsoulan,48.8515208,2.4238067,4.96,11.31,6,26
Gare de Lyon,École de guitare Musique Expérience,48.8632546,2.403053,5.42,13.0,6,27
Gare de Lyon,Le Comptoir du Poulet,48.8489002,2.4000381,3.33,8.06,6,28
Gare de Lyon,CIC,48.8685215,2.40182,6.31,13.3,6,29
Gare de Lyon,Pharmacie de la Place Métivier,48.8633561,2.3882344,3.92,11.16,6,30
Gare de Lyon,Bodrum,48.8676536,2.3960665,4.62,12.95,6,31
Gare de Lyon,Société Générale,48.8640304,2.409058,5.55,11.21,6,32
Gare de Lyon,Le Piano,48.8531047,2.4061539,3.74,8.51,6,33
Gare de Lyon,L. Renauld de Saint-Lucien,48.8489055,2.4178371,4.26,9.4,6,34
Gare de Lyon,Paul Vaillant-Couturier,48.860113,2.3998335,4.95,13.5,6,35
Gare de Lyon,Gisèle HALIMI et Claude FAUX,48.8617945,2.3935896,4.55,12.13,6,36
Gare de Lyon,École maternelle publique Souzy,48.8517486,2.3881145,2.6,6.21,6,37
Gare de Lyon,Collège Marcelin Berthelot,48.8561049,2.4371952,6.09,13.47,6,38
Gare de Lyon,Ninja ren,48.853097,2.4263253,5.29,12.27,6,39
Gare de Lyon,Innov' Burger,48.8586994,2.4014505,4.46,11.25,6,40
