depot,destination_name,destination_lat,destination_lon,distance_km,duration_min
Gare de Lyon,Alfred's Café,48.8933205,2.2462666,13.24,29.05
Gare de Lyon,Le Parks,48.8985268,2.3782168,10.77,19.85
Gare de Lyon,Foyer de l'enfant Jésus,48.8429882,2.3197997,6.21,16.88
Gare de Lyon,Au Petit Marguery,48.8367669,2.3498874,3.35,9.23
Gare de Lyon,Salento,48.8415325,2.2347011,15.49,26.67
Gare de Lyon,Gastronomie Plancha,48.8693026,2.2278683,14.31,31.76
Gare de Lyon,Le ginkgo,48.821687,2.4570783,9.52,15.17
Gare de Lyon,Aide sociale à l'enfance 19ème,48.8828643,2.3886668,8.9,17.61
Gare de Lyon,Mister Garden,48.8728483,2.3094332,7.94,20.54
Gare de Lyon,La Civette du Pont,48.8795621,2.2435575,13.46,29.63
Gare de Lyon,Le Marigny,48.8281934,2.3156122,6.87,18.37
Gare de Lyon,Café de Mars,48.8573875,2.3020651,7.28,19.56
Gare de Lyon,Jeanne Lilienfeld née Schney,48.8898834,2.4516554,10.84,18.8
Gare de Lyon,Marmite d'Afrique,48.901471,2.3850392,10.84,19.38
Gare de Lyon,Le Taïs,48.866299,2.3832322,4.06,11.41
Gare de Lyon,Résidence Furtado-Heine,48.8293477,2.3185846,6.12,16.51
Gare de Lyon,Multi-accueil André Rousseau,48.8780528,2.339397,5.94,16.76
Gare de Lyon,alliance3,48.8858142,2.3825261,6.49,17.82
Gare de Lyon,UrbanSoccer,48.8200169,2.3935791,4.39,9.85
Gare de Lyon,Crèche Collective,48.8879003,2.381445,7.23,19.95
Gare de Lyon,Yakigushi,48.8191333,2.3230642,8.7,16.32
Gare de Lyon,Bank of America,48.864261,2.287742,9.1,22.42
Gare de Lyon,R. Mazharian,48.8549749,2.3772105,2.15,6.28
Gare de Lyon,Chez Nicos,48.843577,2.3493886,3.27,8.84
Gare de Lyon,Seng Ly Plats à Emporter,48.8881434,2.3468378,6.51,18.43
Gare de Lyon,Hôtel CourSeine,48.8990454,2.2464145,13.39,29.18
Gare de Lyon,Pharmacie de la Place Métivier,48.8633561,2.3882344,3.92,11.16
Gare de Lyon,Art Inuit Paris,48.8592237,2.3531011,5.14,13.81
Gare de Lyon,Le Carolus,48.8843844,2.3286648,7.11,19.67
Gare de Lyon,Ibis Budget,48.8253008,2.3939313,3.2,6.84
Gare de Lyon,Ravioli Nord-Est,48.8628462,2.3495362,4.51,12.23
Gare de Lyon,Centre Culturel Iranien,48.8477949,2.3309039,5.1,14.35
Gare de Lyon,La taverne de Zhao,48.8420224,2.2298546,15.89,27.6
Gare de Lyon,Le Village,48.8948902,2.4012463,9.86,18.56
Gare de Lyon,BNP Paribas,48.8755598,2.2906699,8.68,21.71
Gare de Lyon,Da Giovanni,48.8964508,2.2244808,14.05,29.2
Gare de Lyon,Crêperie Saint-Malo,48.8422179,2.3258102,5.29,14.65
Gare de Lyon,Comité départemental du tourisme de Mayotte,48.8809204,2.3250509,7.57,21.14
Gare de Lyon,Ladess,48.8854969,2.3263144,7.42,20.61
