depot,destination_name,destination_lat,destination_lon,distance_km,duration_min,cluster,TARGET_ORDER
Gare de Lyon,Centre culturel Pouya,48.8699163,2.3669314,3.84,10.53,8,61
Gare de Lyon,"Vero, l'Autre Cantine",48.8585814,2.3766053,2.7,7.56,8,62
Gare de Lyon,Claudine,48.8596188,2.3761769,2.9,8.39,8,63
Gare de Lyon,Espace Hermès,48.8625603,2.3830701,3.27,9.4,8,64
Gare de Lyon,Espace des fabriques,48.8670222,2.3752141,3.82,10.76,8,65
Gare de Lyon,Le Timbaud,48.8658307,2.3705921,3.48,9.87,8,66
Gare de Lyon,Mardin Soupe,48.8704535,2.3528693,4.6,13.25,8,67
Gare de Lyon,Comptoir Club,48.859493,2.3683061,2.63,7.37,8,68
Gare de Lyon,O'Sullivans Rebel Red,48.859187,2.3498444,3.7,10.13,8,69
Gare de Lyon,Ravioli Nord-Est,48.8628462,2.3495362,4.51,12.23,8,70
Gare de Lyon,Art Inuit Paris,48.8592237,2.3531011,5.14,13.81,8,71
Gare de Lyon,R. Mazharian,48.8549749,2.3772105,2.15,6.28,8,72
Gare de Lyon,Le Taïs,48.866299,2.3832322,4.06,11.41,8,73
Gare de Lyon,Le Buisson d'Argent,48.8577438,2.3281467,5.11,13.53,8,74
Gare de Lyon,Katsu Katsu,48.8688123,2.3355642,5.61,15.83,8,75
Gare de Lyon,Pacifique,48.873054,2.3796868,5.1,14.46,8,76
Gare de Lyon,Bibliothèque des Amis de l'instruction,48.8585418,2.364846,2.81,8.04,8,77
Gare de Lyon,Kafet' Kaviari,48.8554244,2.3579962,2.87,8.15,8,78
Gare de Lyon,260 enfants juifs de cette école,48.8578549,2.3589462,5.16,14.56,8,79
Gare de Lyon,À la Biche au Bois,48.8480085,2.371079,1.38,4.12,8,80
Gare de Lyon,Ernest,48.8576118,2.3586694,5.15,14.55,8,81
Gare de Lyon,Tintin Kissing,48.8680403,2.3473736,5.36,15.13,8,82
Gare de Lyon,La plume,48.8648155,2.3445171,4.85,13.47,8,83
Gare de Lyon,Babel,48.8716358,2.3780921,5.31,15.07,8,84
Gare de Lyon,Tbilissi,48.8667667,2.3513946,5.65,15.91,8,85
Gare de Lyon,Écographie Scanner Imagerie,48.8660211,2.3462946,5.67,15.98,8,86
Gare de Lyon,Tabac de la Bourse,48.8691212,2.3627535,3.79,10.62,8,87
Gare de Lyon,Société Générale Bourse,48.8686697,2.3421738,5.86,16.44,8,88
